smiles,ChEMBL_ID,activity_IC50,binding_score
COC(=O)c1ccc(CNC(=O)c2ccc3nc(N)sc3c2)cc1,CHEMBL4579215,25000.0,-9.27776
COC(=O)C1CCN(CC1)C(=O)c1ccc(CNC(=O)c2ccc3nc(N)sc3c2)cc1,CHEMBL4452155,25000.0,-7.87101
Cc1ccn(CC23C[C@]2(CCNC3)c2ccc(Cl)c(Cl)c2)n1,CHEMBL1818451,10000.0,-9.85787
Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(C)(CC1)N1CCC(CC1)N(c1ccccc1)c1cccnc1,CHEMBL255858,10000.0,-7.88686
FC(F)(F)c1nc(Nc2cccc(Cl)c2)ncc1C(=O)NCC1CCCCC1,CHEMBL226067,100000.0,-10.66656
C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CCC3=C2)c2ccc(=O)oc2)[C@H](O)[C@H](O)[C@H]1O,CHEMBL600325,,-8.0444
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,CHEMBL499,11000.0,-7.79679
CN(C)C(=O)Oc1cc2oc(=O)c(Cc3cccc(NS(N)(=O)=O)c3F)c(C)c2cc1F,CHEMBL3086078,49000.0,-10.85616
CN([C@H](CN1CC[C@H](O)C1)c1ccccc1)C(=O)CNc1cccc(CNS(C)(=O)=O)c1,CHEMBL204650,8700.0,-9.79601
CN([C@H](CN1CC[C@H](O)C1)c1ccccc1)C(=O)CNc1cccc(c1)C#N,CHEMBL382449,3000.0,-9.95129
COc1ccc(cc1CSc1nc2ccccc2n1CC(O)=O)C(C)=O,CHEMBL2048183,50000.0,-10.22572
COCCOc1cc(CC2CCN(CCc3ccc4occ(O)c(=O)c4c3)CC2)ccc1Br,CHEMBL3656920,37600.0,-10.35352
CC(CC(O)=O)c1cccc(n1)-n1c(cc2ccc(OC(F)(F)F)cc12)C(N)=O,CHEMBL4215835,20000.0,-10.86044
C[C@@H]1CCCN1CCCOc1ccc(cc1)C1=NN(C)C(=O)C2CCCC12,CHEMBL1835784,30000.0,-9.68815
COc1ccccc1\\C=C\\C(=O)c1ccc[nH]1,CHEMBL4105559,20000.0,-8.63485
COc1cc(ccn1)N1Cc2cn(nc2[C@H]1C(C)C)-c1cccc(c1)S(C)(=O)=O,CHEMBL3913348,30000.0,-9.38339
CS(=O)(=O)c1ccc(O[C@@H]2[C@H](Cc3c2cc(Cl)cc3Cl)N2C[C@@H]3CNC[C@@H]3C2)cc1,CHEMBL3921160,900.0,-10.89889
OC(=O)Cn1c2CCN(Cc2c2ccccc12)C(=O)c1cccc2ccccc12,CHEMBL2386079,50000.0,-13.14942
CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccc(O)cc1C#N,CHEMBL440203,310.0,-10.74861
Cc1cscc1-c1cccnc1,CHEMBL179704,193000.0,-7.17465
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,CHEMBL19224,,-9.02761
Cc1ccc(cn1)C(=O)N(CC(=O)Nc1ncc(s1)-c1ccc(N)cc1)Cc1ccccc1,CHEMBL2397308,30000.0,-9.72161
CC(O)=O.OCc1cc(ccc1O)[C@@H](O)CNCCCCCCOCCCCc1cccc(c1)S(=O)(=O)C1CCCC1,CHEMBL3126382,6400.0,-9.73058
