,smiles,ChEMBL_ID,activity_IC50,binding_score
73,CC(C)OC(=O)N1CCC2(CC(CCCOc3ccc(C(=O)N4CCC4)c(F)c3)C2)CC1,CHEMBL4226885,4.0,-9.51283
75,COc1cccc(\\C=C\\C(=O)c2ccncc2)c1,CHEMBL4212722,4.0,-7.43551
77,Cc1csc(n1)C12C[C@]1(CCNC2)c1ccc(Cl)c(Cl)c1,CHEMBL1818445,3.778151250383644,-7.3036
78,CC(C)(C)CNc1nc(nc(N2CCOCC2)c1N)C#N,CHEMBL471757,4.0,-6.72917
80,CCCCNc1nc(N)nc2cccc(C(=O)NCc3ccccc3)c12,CHEMBL4213687,4.0,-8.44881
81,O=C(Nc1ccc(cc1C1=CCCCC1)C1CCN(CCN2CCOCC2)CC1)c1ncc([nH]1)C#N,CHEMBL2158230,4.0,-10.13973
82,Cc1ccc(-c2cc(Br)ccc2OCc2ccc(F)cc2)n1-c1cccc(c1)C(O)=O,CHEMBL208791,3.591064607026499,-10.42887
83,CCCCc1ccc(N\\C=N\\O)cc1,CHEMBL103313,3.9444826721501687,-6.56826
84,Fc1cc(NC2CCOC2)c(Cl)cc1S(=O)(=O)Nc1nccs1,CHEMBL4097000,4.301029995663981,-7.22328
85,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(cc3)C(F)(F)F)C2)nnc1C1CCOCC1,CHEMBL3948167,4.0,-9.96452
86,Oc1ccc(CNc2[nH]nc(c2-c2ccc(O)cc2)-c2ccc(O)cc2)cc1,CHEMBL3805279,4.3979400086720375,-9.60603
87,CCn1cnc(c1)-c1cccnc1,CHEMBL361364,4.876217840591642,-6.01529
88,CC(C)CC(O)(c1nc(c[nH]1)-n1ccc(NC(=O)c2cscn2)cc1=O)c1cccc(c1)C(F)(F)F,CHEMBL3808401,2.1760912590556813,-10.21382
89,CC(C)(c1cc(-c2cccc(c2)-c2ccc(cc2)S(C)(=O)=O)c2ncccc2c1)S(C)(=O)=O,CHEMBL402953,2.863322860120456,-10.96877
90,OC(=O)C(F)(F)F.N[C@H]1CC(=CC[C@@H]1c1cc(F)c(F)c(F)c1)C(=O)N1CCn2c(C1)nnc2C(F)(F)F,CHEMBL437341,4.477121254719663,-10.57977
91,CCNCc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O,CHEMBL146826,5.0,-8.12259
92,CCc1nc(N)nc(N)c1-c1ccc2OC(CC)(C(=O)N(CCCOC)c2c1)c1cc(F)cc(F)c1,CHEMBL239497,3.690196080028514,-10.03705
93,Clc1ccccc1-n1c(nnc1-c1ccncn1)[C@H]1C[C@@H](C1)n1c2ccc(cc2[nH]c1=O)C#N,CHEMBL4095003,4.075546961392531,-10.12544
94,COc1ccc(cc1OC1CCN(C)CC1)C(=O)NCc1cc(no1)C(C)C,CHEMBL3304438,4.477121254719663,-8.72202
96,CCCN1C(=O)COc2ccc(CN3CCN(CCOc4cccc5nc(C)ccc45)CC3)cc12,CHEMBL246599,4.2552725051033065,-9.97431
