smiles,ChEMBL_ID,activity_IC50,binding_score
CC(C)CC(O)(c1nc(c[nH]1)-n1ccc(NC(=O)c2cscn2)cc1=O)c1cccc(c1)C(F)(F)F,CHEMBL3808401,150.0,-10.21382
CC(C)(c1cc(-c2cccc(c2)-c2ccc(cc2)S(C)(=O)=O)c2ncccc2c1)S(C)(=O)=O,CHEMBL402953,730.0,-10.96877
OC(=O)C(F)(F)F.N[C@H]1CC(=CC[C@@H]1c1cc(F)c(F)c(F)c1)C(=O)N1CCn2c(C1)nnc2C(F)(F)F,CHEMBL437341,30000.0,-10.57977
CCNCc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O,CHEMBL146826,100000.0,-8.12259
CCc1nc(N)nc(N)c1-c1ccc2OC(CC)(C(=O)N(CCCOC)c2c1)c1cc(F)cc(F)c1,CHEMBL239497,4900.0,-10.03705
Clc1ccccc1-n1c(nnc1-c1ccncn1)[C@H]1C[C@@H](C1)n1c2ccc(cc2[nH]c1=O)C#N,CHEMBL4095003,11900.0,-10.12544
COc1ccc(cc1OC1CCN(C)CC1)C(=O)NCc1cc(no1)C(C)C,CHEMBL3304438,30000.0,-8.72202
[Na+].[O-]S(=O)(=O)CCS,CHEMBL975,,-3.28778
CCCN1C(=O)COc2ccc(CN3CCN(CCOc4cccc5nc(C)ccc45)CC3)cc12,CHEMBL246599,18000.0,-9.97431
FC(F)(F)Oc1ccc(NC(=O)N2CCC(CC2)n2cccc2)cc1,CHEMBL590600,11000.0,-9.23528
Cn1c2ncn(CC3OCCO3)c2c(=O)n(C)c1=O,CHEMBL1527608,,-6.90513
Cc1ncoc1-c1nnc(SCCCN2CCOC(C2)c2ccc(F)cc2)n1C,CHEMBL3765754,30000.0,-9.04255
CC(=NNC(=O)c1cccc(c1)S(=O)(=O)N1CCOCC1)c1cc(Cl)ccc1O,CHEMBL3104250,8040.0,-9.67831
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,CHEMBL254219,,-11.72216
OC(=O)[C@H]1CC[C@@H](CC1)c1ccc(cc1)-c1cc(nc(n1)C(F)(F)F)N1CC[C@H]1C(=O)NCCc1ccc(cc1)C#N,CHEMBL3234871,25000.0,-10.72145
COc1cccc(c1)C1=NC(c2c(N1)n(-c1ccc(Cl)cc1)c(=O)[nH]c2=O)(C(F)(F)F)C(F)(F)F,CHEMBL4095693,3780.0,-10.30241
Cn1c2NC(=NC(c2c(=O)n(C)c1=O)(C(F)(F)F)C(F)(F)F)c1cccc(c1)[N+]([O-])=O,CHEMBL4079193,470.0,-9.70602
CCn1nc2c(-c3ccc(Cl)cc3)c(-c3ccncc3C)c(=O)n(Cc3ccc(nc3C)C(F)(F)F)n2c1=O,CHEMBL3260744,5000.0,-9.88679
CCn1nc2c(-c3ccc(Cl)cc3)c(-c3cnc(C)nc3)c(=O)n(Cc3ccc(nc3C)C(F)(F)F)n2c1=O,CHEMBL3260753,40000.0,-10.07056
CO[C@H]1\\C=C\\O[C@@]2(C)Oc3c(C2=O)c2C4=NC5(CCN(CC(C)C)CC5)NC4=C(NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(=O)c2c(O)c3C,CHEMBL444633,,12.98335
COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(C)=C,CHEMBL429023,,-8.93513
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,CHEMBL1191,,-7.41692
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c1cc(OC)c(OC)c(OC)c1,CHEMBL772,,-9.07996
CCN(CC)C(=S)SSC(=S)N(CC)CC,CHEMBL964,,-4.83907
CCCc1ccc2c3[nH]c(nc3c(=O)[nH]c2c1)-c1ccccc1Cl,CHEMBL2387595,24000.0,-9.67939
CCCCOc1ccc(OCCCN2CCOCC2)cc1,CHEMBL1198,,-6.7356
